STATE,COUNTY,TRACT,year,id,name,parent_location,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate,fips,cofips,B25119_003E,B03002_001E,B03002_012E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_010E,B03002_011E,B25003_003E,B25003A_003E,B25003B_003E,B25003C_003E,B25003D_003E,B25003E_003E,B25003F_003E,B25003G_003E,B25003H_003E,B25003I_003E,B25119_003E_2018,frac_B03002_012E,frac_B03002_003E,frac_B03002_004E,frac_B03002_005E,frac_B03002_006E,frac_B03002_007E,frac_B03002_008E,frac_B03002_010E,frac_B03002_011E,frac_B25003A_003E,frac_B25003B_003E,frac_B25003C_003E,frac_B25003D_003E,frac_B25003E_003E,frac_B25003F_003E,frac_B25003G_003E,frac_B25003H_003E,frac_B25003I_003E
34,017,000100,2009,34017000100,Census Tract 1,"Hudson County, New Jersey",observed,113.0,12.14,86.0,9.24,22.0,2.36,34017000100,34017,37445.0,6031,2378,1607,207,0,1711,0,54,0,74,930,515,38,0,158,0,199,20,358,384,43931.34834075,0.3942961366274249,0.2664566406897695,0.0343226662245067,0.0,0.2837008787929033,0.0,0.0089537390150887,0.0,0.0122699386503067,0.553763440860215,0.0408602150537634,0.0,0.1698924731182795,0.0,0.2139784946236559,0.021505376344086,0.3849462365591398,0.4129032258064516
34,017,000100,2010,34017000100,Census Tract 1,"Hudson County, New Jersey",observed,93.0,8.01,73.0,6.29,18.0,1.55,34017000100,34017,37589.0,6606,2598,1402,283,0,2142,0,78,0,103,969,410,84,0,169,0,278,28,283,431,43384.55734703,0.3932788374205268,0.2122313048743566,0.042839842567363,0.0,0.3242506811989101,0.0,0.0118074477747502,0.0,0.0155918861640932,0.4231166150670795,0.0866873065015479,0.0,0.174406604747162,0.0,0.2868937048503612,0.0288957688338493,0.2920536635706914,0.4447884416924664
34,017,000100,2011,34017000100,Census Tract 1,"Hudson County, New Jersey",observed,113.0,7.55,93.0,6.21,27.0,1.8,34017000100,34017,40069.0,7239,3162,1337,285,0,2249,0,89,0,117,1087,433,128,0,117,0,382,27,338,522,44833.63444106,0.4368006630750103,0.184694018510844,0.0393700787401574,0.0,0.310678270479348,0.0,0.0122945158171018,0.0,0.0161624533775383,0.3983440662373505,0.1177552897884084,0.0,0.1076356945722171,0.0,0.3514259429622815,0.0248390064397424,0.3109475620975161,0.4802207911683532
34,017,000100,2012,34017000100,Census Tract 1,"Hudson County, New Jersey",observed,125.0,8.35,80.0,5.34,17.0,1.14,34017000100,34017,42500.0,6631,2947,1323,251,0,2014,0,0,0,96,1190,455,133,0,145,0,434,23,364,569,46567.40725,0.4444276881315035,0.199517418187302,0.0378525109334941,0.0,0.3037249283667622,0.0,0.0,0.0,0.014477454380938,0.3823529411764705,0.1117647058823529,0.0,0.1218487394957983,0.0,0.3647058823529411,0.0193277310924369,0.3058823529411765,0.4781512605042017
34,017,000100,2013,34017000100,Census Tract 1,"Hudson County, New Jersey",observed,129.0,8.62,92.0,6.15,23.0,1.54,34017000100,34017,42188.0,6686,3463,1018,241,0,1838,0,0,75,51,1457,357,119,0,270,0,659,52,290,782,45550.72236964,0.5179479509422674,0.1522584504935686,0.036045468142387,0.0,0.274902781932396,0.0,0.0,0.0112174693389171,0.0076278791504636,0.2450240219629375,0.0816746739876458,0.0,0.185312285518188,0.0,0.4522992450240219,0.0356897735072065,0.1990391214824982,0.5367192862045299
34,017,000100,2014,34017000100,Census Tract 1,"Hudson County, New Jersey",observed,126.0,8.42,75.0,5.01,16.0,1.07,34017000100,34017,53217.0,7100,3418,1298,285,0,2034,0,0,48,17,1468,390,151,0,287,0,616,24,319,746,56502.0002628,0.4814084507042253,0.1828169014084507,0.0401408450704225,0.0,0.2864788732394366,0.0,0.0,0.0067605633802816,0.002394366197183,0.2656675749318801,0.1028610354223433,0.0,0.1955040871934605,0.0,0.4196185286103542,0.0163487738419618,0.2173024523160762,0.5081743869209809
34,017,000100,2015,34017000100,Census Tract 1,"Hudson County, New Jersey",observed,88.0,5.88,61.0,4.07,1.0,0.07,34017000100,34017,61896.0,7081,3698,1498,30,0,1803,0,0,36,16,1497,451,63,0,434,0,517,32,295,744,65603.7282348,0.5222426210987149,0.2115520406722214,0.0042366897330885,0.0,0.2546250529586216,0.0,0.0,0.0050840276797062,0.0022595678576472,0.3012692050768203,0.0420841683366733,0.0,0.2899131596526386,0.0,0.3453573814295257,0.021376085504342,0.1970607882431529,0.4969939879759519
34,017,000100,2016,34017000100,Census Tract 1,"Hudson County, New Jersey",observed,70.0,6.46,54.0,4.99,0.0,0.0,34017000100,34017,46887.0,6581,3445,1219,46,0,1679,0,0,97,95,1514,394,59,0,451,0,568,42,217,789,49062.85406358,0.5234766752773135,0.1852302081750493,0.0069898191764169,0.0,0.255128399939219,0.0,0.0,0.0147394013067922,0.0144354961252089,0.2602377807133421,0.0389696169088507,0.0,0.2978863936591809,0.0,0.3751651254953765,0.0277410832232496,0.1433289299867899,0.5211360634081902
34,017,000100,2017,34017000100,Census Tract 1,"Hudson County, New Jersey",observed,95.0,8.77,67.0,6.19,0.0,0.0,34017000100,34017,47933.0,6836,3739,1024,56,0,1825,0,0,100,92,1372,333,64,0,438,0,494,43,146,751,49101.44979909,0.546957284961966,0.14979520187244,0.008191925102399,0.0,0.2669689877121123,0.0,0.0,0.0146284376828554,0.013458162668227,0.2427113702623906,0.0466472303206997,0.0,0.3192419825072886,0.0,0.3600583090379008,0.0313411078717201,0.1064139941690962,0.5473760932944607
34,017,000100,2018,34017000100,Census Tract 1,"Hudson County, New Jersey",observed,97.0,8.96,58.0,5.36,0.0,0.0,34017000100,34017,49645.0,6278,3058,1280,75,0,1678,0,0,72,115,1063,418,80,42,344,0,151,28,164,515,49645.0,0.4870978018477222,0.2038865880853775,0.0119464797706275,0.0,0.2672825740681745,0.0,0.0,0.0114686205798024,0.0183179356482956,0.3932267168391345,0.0752587017873941,0.0395108184383819,0.3236124176857949,0.0,0.1420507996237064,0.0263405456255879,0.154280338664158,0.4844778927563499
